route,list,show,create,update,delete,backend_file
statistic,yes,no,no,no,no,statistic.routes.ts
statistic/by-room-type,yes,no,no,no,no,statistic.routes.ts
statistic/messages,yes,no,no,no,no,statistic.routes.ts
statistic/occupancy,yes,no,no,no,no,extra.routes.ts
statistic/rate-codes,yes,no,no,no,no,statistic.routes.ts
statistic/room-availability,yes,no,no,no,no,statistic.routes.ts
statistic/statistic-room-type,yes,no,no,no,no,statistic.routes.ts
statistic/statistic-room-type-grouping,yes,no,no,no,no,statistic.routes.ts
stock,yes,yes,yes,yes,yes,housekeeping.routes.ts
stop-sell-booking,yes,no,yes,yes,yes,extra.routes.ts
system-balance,no,yes,no,no,no,master-system.routes.ts
system-balance/:type,no,yes,no,no,no,master-system.routes.ts
system-balance/payment,no,no,no,no,no,
task,yes,no,yes,yes,no,admin.routes.ts
task/mark-hk-read,no,no,yes,no,no,admin.routes.ts
tasks,yes,no,yes,no,no,admin.routes.ts
transaction,yes,yes,yes,yes,yes,front-desk.routes.ts
transaction/folio,yes,no,no,no,no,front-desk.routes.ts
transaction/pos,yes,no,no,no,no,front-desk.routes.ts, master-system.routes.ts
transactions,yes,yes,yes,no,no,front-desk.routes.ts
type-payment,yes,yes,yes,yes,yes,master-setup.routes.ts
type-payments,yes,yes,yes,yes,yes,master-setup.routes.ts
uall,yes,no,no,no,no,admin.routes.ts
user,yes,yes,yes,yes,yes,admin.routes.ts, user-guest.routes.ts
user/all/list,yes,no,no,no,no,user-guest.routes.ts
user/fcm-token,no,no,yes,no,no,admin.routes.ts
user/get-user,yes,no,no,no,no,admin.routes.ts
user/online,yes,no,no,no,no,admin.routes.ts, user-guest.routes.ts
user/online/list,yes,no,no,no,no,user-guest.routes.ts
user/simple/list,yes,no,no,no,no,user-guest.routes.ts
users,yes,yes,yes,yes,yes,user-guest.routes.ts
users/all/list,yes,no,no,no,no,user-guest.routes.ts
users/online/list,yes,no,no,no,no,user-guest.routes.ts
users/simple/list,yes,no,no,no,no,user-guest.routes.ts
work-order-stock,yes,yes,yes,yes,yes,housekeeping.routes.ts
yield,yes,yes,yes,yes,yes,extra.routes.ts
yields,yes,yes,yes,yes,yes,extra.routes.ts
